plantsym,plantsciname,plantcomname,forestunprod,rangeprod,cokey,coeplantskey
ARTR2,Artemisia tridentata,big sagebrush,NA,15,17724650,74750385
ELEL5,Elymus elymoides,bottlebrush squirreltail,NA,5,17724650,74750386
ACHY,Achnatherum hymenoides,Indian ricegrass,NA,5,17724650,74750387
POFE,Poa fendleriana,muttongrass,NA,30,17724650,74750388
PASM,Pascopyrum smithii,western wheatgrass,NA,30,17724650,74750389
HECOC8,Hesperostipa comata ssp. comata,needle and thread,NA,5,17724650,74750390
PASM,Pascopyrum smithii,western wheatgrass,NA,25,17724651,74750391
POFE,Poa fendleriana,muttongrass,NA,20,17724651,74750392
HECOC8,Hesperostipa comata ssp. comata,needle and thread,NA,5,17724651,74750393
KOMA,Koeleria macrantha,prairie Junegrass,NA,5,17724651,74750394
CHVIV4,Chrysothamnus viscidiflorus ssp. viscidiflorus var. viscidiflorus,Douglas rabbitbrush,NA,5,17724651,74750395
ACHY,Achnatherum hymenoides,Indian ricegrass,NA,15,17724651,74750396
ARTR2,Artemisia tridentata,big sagebrush,NA,10,17724651,74750397
POFE,Poa fendleriana,muttongrass,NA,20,17724682,74750466
PASM,Pascopyrum smithii,western wheatgrass,NA,15,17724682,74750467
HECOC8,Hesperostipa comata ssp. comata,needle and thread,NA,5,17724682,74750468
PUTR2,Purshia tridentata,antelope bitterbrush,NA,5,17724682,74750469
CHVIV4,Chrysothamnus viscidiflorus ssp. viscidiflorus var. viscidiflorus,Douglas rabbitbrush,NA,5,17724682,74750470
ELEL5,Elymus elymoides,bottlebrush squirreltail,NA,5,17724682,74750471
PLJA,Pleuraphis jamesii,galleta,NA,5,17724682,74750472
ARTR2,Artemisia tridentata,big sagebrush,NA,15,17724682,74750473
ELELE,Elymus elymoides ssp. elymoides,bottlebrush squirreltail,NA,5,17724683,74750474
CHVI8,Chrysothamnus viscidiflorus,yellow rabbitbrush,NA,5,17724683,74750475
ACHY,Achnatherum hymenoides,Indian ricegrass,NA,5,17724683,74750476
PASM,Pascopyrum smithii,western wheatgrass,NA,20,17724683,74750477
AMUT,Amelanchier utahensis,Utah serviceberry,NA,5,17724683,74750478
ARNON2,Artemisia nova var. nova,black sagebrush,NA,5,17724683,74750479
ARTRW8,Artemisia tridentata ssp. wyomingensis,Wyoming big sagebrush,NA,10,17724683,74750480
POFE,Poa fendleriana,muttongrass,NA,30,17724683,74750481
CAREX,Carex,sedge,NA,25,17724684,74750482
TYLA,Typha latifolia,broadleaf cattail,NA,25,17724684,74750483
DISP,Distichlis spicata,inland saltgrass,NA,10,17724684,74750484
JUNCU,Juncus,rush,NA,15,17724684,74750485
