fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,2,3,,2,4,5,Nonflat,,Indurated,51712753,88624770
0,2,3,,5,40,75,Nonflat,,Indurated,51712753,88624771
0,3,6,,5,40,75,Nonflat,,Indurated,51712754,88624772
0,3,6,,2,4,5,Nonflat,,Indurated,51712754,88624773
0,3,6,,2,4,5,Nonflat,,Indurated,51712756,88624774
0,3,6,,5,40,75,Nonflat,,Indurated,51712756,88624775
0,5,9,,2,4,5,Nonflat,,Indurated,51712785,88624805
0,5,9,,5,40,75,Nonflat,,Indurated,51712785,88624806
0,5,9,,2,4,5,Nonflat,,Indurated,51712786,88624807
0,5,9,,5,40,75,Nonflat,,Indurated,51712786,88624808
0,5,9,,2,4,5,Nonflat,,Indurated,51712787,88624809
0,5,9,,5,40,75,Nonflat,,Indurated,51712787,88624810
