structgrpname,rvindicator,chkey,chstructgrpkey
moderate medium angular blocky structure,Yes,51712749,27704538
moderate fine granular structure,Yes,51712750,27704890
strong medium angular blocky structure,Yes,51712751,27704385
strong medium angular blocky structure,Yes,51712752,27704386
moderate medium subangular blocky structure,Yes,51712753,27704388
moderate medium angular blocky structure,Yes,51712754,27704539
weak fine granular structure,Yes,51712756,27704387
moderate medium granular structure,Yes,51712785,27704540
weak medium subangular blocky structure,Yes,51712786,27704541
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,51712787,27704891
moderate fine granular structure,Yes,51712788,27704463
"moderate medium subangular blocky structure, and moderate fine subangular blocky structure",Yes,51712789,27704464
massive,Yes,51712790,27704465
massive,Yes,51712791,27704724
weak thick platy structure,Yes,51712792,27705077
massive,Yes,51712793,27705078
massive,Yes,51712794,27704725
