texcl,lieutex,chtgkey,chtkey
Silt loam,,103291612,105060390
Loam,,103291613,105060228
,Bedrock,103291616,105060063
Loam,,103291658,105060064
Clay loam,,103291661,105060230
Silty clay loam,,103291662,105060391
Clay loam,,103291672,105061523
Silty clay loam,,103291673,105061103
Silt loam,,103291617,105060561
Silt loam,,103291664,105060232
Loam,,103291665,105060392
Loam,,103291666,105060233
Very fine sandy loam,,103291667,105061624
Fine sandy loam,,103291668,105061520
Loam,,103291669,105061623
Silty clay loam,,103291670,105061521
Clay,,103291671,105061522
Loam,,103291610,105060559
Sandy clay loam,,103291611,105060560
Loam,,103291614,105060229
Silt loam,,103291615,105060062
Loam,,103291659,105060231
Silty clay loam,,103291660,105060562
Silt loam,,103291663,105060564
Loam,,103291604,105060061
Clay loam,,103291605,105060226
Loam,,103291606,105060060
Loam,,103291607,105060388
Clay loam,,103291608,105060227
Sandy clay loam,,103291609,105060389
,Bedrock,103291657,105060563
